tip_label,species,status,tip_order
Hesperis_matronalis,Hesperis_matronalis,exisiting species in the megatree,340
Matthiola_incana,Matthiola_incana,exisiting species in the megatree,341
Rorippa_sylvestris,Rorippa_sylvestris,exisiting species in the megatree,342
Armoracia_rusticana,Armoracia_rusticana,exisiting species in the megatree,343
Nasturtium_officinale,Nasturtium_officinale,exisiting species in the megatree,344
Cardamine_flexuosa,Cardamine_flexuosa,exisiting species in the megatree,345
Capsella_bursa-pastoris,Capsella_bursa-pastoris,exisiting species in the megatree,346
Arabidopsis_lyrata,Arabidopsis_lyrata,exisiting species in the megatree,347
Erysimum_cheiri,Erysimum_cheiri,exisiting species in the megatree,348
Lepidium_densiflorum,Lepidium_densiflorum,exisiting species in the megatree,349
Lepidium_sativum,Lepidium_sativum,exisiting species in the megatree,350
Lepidium_virginicum,Lepidium_virginicum,exisiting species in the megatree,351
Lepidium_didymum,Lepidium_didymum,exisiting species in the megatree,352
Lepidium_coronopus,Lepidium_coronopus,exisiting species in the megatree,353
Lepidium_campestre,Lepidium_campestre,exisiting species in the megatree,354
Aethionema_saxatile,Aethionema_saxatile,exisiting species in the megatree,355
Rhamphospermum_arvense,Rhamphospermum_arvense,grafted at family level,356
Reseda_lutea,Reseda_lutea,exisiting species in the megatree,357
Reseda_alba,Reseda_alba,exisiting species in the megatree,358
Tropaeolum_majus,Tropaeolum_majus,exisiting species in the megatree,359
Malva_moschata,Malva_moschata,exisiting species in the megatree,360
Malva_alcea,Malva_alcea,exisiting species in the megatree,361
Althaea_officinalis,Althaea_officinalis,exisiting species in the megatree,362
Sida_linifolia,Sida_linifolia,grafted at genus level,363
Abutilon_theophrasti,Abutilon_theophrasti,exisiting species in the megatree,364
Ceiba_speciosa,Ceiba_speciosa,exisiting species in the megatree,365
Ceiba_pentandra,Ceiba_pentandra,exisiting species in the megatree,366
Bombax_ceiba,Bombax_ceiba,exisiting species in the megatree,367
Ochroma_pyramidale,Ochroma_pyramidale,exisiting species in the megatree,368
Tilia_platyphyllos,Tilia_platyphyllos,exisiting species in the megatree,369
Tilia_cordata,Tilia_cordata,exisiting species in the megatree,370
Tilia_americana,Tilia_americana,exisiting species in the megatree,371
Sterculia_apetala,Sterculia_apetala,exisiting species in the megatree,372
Brachychiton_populneus,Brachychiton_populneus,exisiting species in the megatree,373
Theobroma_cacao,Theobroma_cacao,exisiting species in the megatree,374
Guazuma_ulmifolia,Guazuma_ulmifolia,exisiting species in the megatree,375
Cistus_salviifolius,Cistus_salviifolius,exisiting species in the megatree,376
Cistus_ladanifer,Cistus_ladanifer,exisiting species in the megatree,377
Cistus_monspeliensis,Cistus_monspeliensis,grafted at genus level,378
Cistus_laurifolius,Cistus_laurifolius,grafted at genus level,379
Cistus_crispus,Cistus_crispus,grafted at genus level,380
Cistus_albidus,Cistus_albidus,grafted at genus level,381
Cistus_creticus,Cistus_creticus,exisiting species in the megatree,382
Helianthemum_nummularium,Helianthemum_nummularium,exisiting species in the megatree,383
Helianthemum_salicifolium,Helianthemum_salicifolium,grafted at genus level,384
Helianthemum_syriacum,Helianthemum_syriacum,grafted at genus level,385
Helianthemum_apenninum,Helianthemum_apenninum,grafted at genus level,386
Neobalanocarpus_heimii,Neobalanocarpus_heimii,exisiting species in the megatree,387
Cochlospermum_regium,Cochlospermum_regium,grafted at genus level,388
Daphne_laureola,Daphne_laureola,exisiting species in the megatree,389
Daphne_mezereum,Daphne_mezereum,exisiting species in the megatree,390
Acer_campestre,Acer_campestre,exisiting species in the megatree,391
Acer_platanoides,Acer_platanoides,exisiting species in the megatree,392
Acer_pensylvanicum,Acer_pensylvanicum,exisiting species in the megatree,393
Acer_spicatum,Acer_spicatum,exisiting species in the megatree,394
Acer_negundo,Acer_negundo,exisiting species in the megatree,395
Acer_opalus,Acer_opalus,exisiting species in the megatree,396
Acer_monspessulanum,Acer_monspessulanum,exisiting species in the megatree,397
